"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/46 Stanbury Place Quakers Hill 2763",3,2,2,730000,2023-03-24,-33.7250664521591,150.893871062851,758.116635085916
2,"3/72 Arnott Road Quakers Hill 2763",3,2,1,717000,2023-03-24,-33.742589114114,150.891192206597,1751.35131358407
3,"1/30 Hillcrest Road Quakers Hill 2763",3,2,2,770000,2023-03-22,-33.7298472801828,150.892689633599,660.090116257796
4,"33/188 Walker Street Quakers Hill 2763",3,2,1,706500,2023-03-17,-33.7182579579382,150.890895319586,1108.93223513304
5,"7/23 Hillcrest Road Quakers Hill 2763",3,2,1,785000,2023-03-14,-33.7287210457626,150.894530299536,786.05003157131
6,"5/14 Reef Street Quakers Hill 2763",2,1,1,490000,2023-03-03,-33.7287829461176,150.879942099974,597.730742091803
7,"19/40 Highfield Road Quakers Hill 2763",3,1,2,695000,2023-02-10,-33.7288466904912,150.89234069497,591.615948236139
8,"5/19 Torrance Crescent Quakers Hill 2763",2,1,1,550000,2023-02-10,-33.7266210856506,150.899730348447,1257.11268136107
9,"2/28-30 Ramona Street Quakers Hill 2763",4,2,2,815000,2023-02-10,-33.7283843028026,150.89049248532,412.98178094055
10,"5/37 Stanbury Place Quakers Hill 2763",3,2,2,770000,2023-01-27,-33.7248184316442,150.892376066601,641.985961231048
11,"25/81 Lalor Road Quakers Hill 2763",3,2,1,695000,2023-01-22,-33.7273014028218,150.895780711852,888.402861416345
12,"2/38 Hillcrest Road Quakers Hill 2763",3,2,1,732000,2023-01-22,-33.7307665235041,150.893383152268,763.537854487799
13,"3/2 Stanbury Place Quakers Hill 2763",3,2,1,712000,2023-01-22,-33.7267546512777,150.891696461892,515.483092928685
14,"4/91 Pye Road Quakers Hill 2763",3,2,1,7e+05,2023-01-04,-33.7324448319769,150.898047681385,1232.54871481769
15,"3/27 Stanbury Place Quakers Hill 2763",3,1,2,740000,2022-12-19,-33.7248566112131,150.891904752185,601.325549982897
16,"1/9 Stanbury Place Quakers Hill 2763",3,2,1,730000,2022-12-09,-33.726052122063,150.891223387276,490.516319409363
17,"1/10 Montrose Street Quakers Hill 2763",2,2,NA,645500,2022-12-04,-33.7292900931692,150.88901299559,334.612390606709
18,"8/19 Torrance Crescent Quakers Hill 2763",2,1,1,586500,2022-11-29,-33.7265927129083,150.899582575494,1243.69508384005
19,"4/23 Montrose Street Quakers Hill 2763",4,2,2,827000,2022-11-27,-33.7288313935179,150.890404642974,421.10134540883
20,"23/38 Hillcrest Rd Quakers Hill 2763",4,2,2,762000,2022-11-21,-33.7307126278666,150.892571700221,695.759335870396
21,"2/14-16 Lalor Road Quakers Hill 2763",3,2,2,719000,2022-11-16,-33.7268698186273,150.887490003783,135.240023227496
22,"2/78 Greendale Terrace Quakers Hill 2763",3,2,2,810000,2022-11-15,-33.7388933234564,150.886973510909,1279.58369793841
23,"unit 38/81 Lalor Road Quakers Hill 2763",3,1,2,705001,2022-11-02,-33.7270137359048,150.896139038213,922.580161178964
24,"1/72 Arnott Road Quakers Hill 2763",3,2,1,765000,2022-10-25,-33.742589114114,150.891192206597,1751.35131358407
25,"1/32-34 Douglas Road Quakers Hill 2763",3,2,1,705000,2022-10-16,-33.7279453844428,150.882186857463,374.889825708301
26,"4/14-16 Ramona Street Quakers Hill 2763",4,3,1,808000,2022-10-11,-33.7281789042652,150.88899220847,273.289727644649
27,"11/81 Lalor Road Quakers Hill 2763",3,1,1,620000,2022-10-05,-33.7265281722539,150.89563285508,880.206649586725
28,"2/10 Montrose Street Quakers Hill 2763",3,2,1,714000,2022-09-30,-33.7292900931692,150.88901299559,334.612390606709
29,"11/11 Ramona Street Quakers Hill 2763",4,2,2,8e+05,2022-09-28,-33.7274494691414,150.888365745027,201.839377270206
30,"5/18 Montrose Street Quakers Hill 2763",3,2,2,774000,2022-09-27,-33.72939909982,150.889852778469,404.864611857903
31,"6 Greendale Terrace Quakers Hill 2763",3,2,2,825000,2022-09-04,-33.7384565843914,150.886337324458,1228.96736626483
32,"7/25 Stanbury Place Quakers Hill 2763",3,2,1,725000,2022-09-02,-33.7251552584233,150.891682464113,567.779474368253
33,"2/48 Greendale Terrace Quakers Hill 2763",3,2,2,780000,2022-08-28,-33.7383153074134,150.887443316582,1218.73189798721
34,"54 Treetop Circuit Quakers Hill 2763",4,2,1,790000,2022-08-23,-33.7269054417158,150.893386337391,669.062571220054
35,"21/16 Hillcrest Road Quakers Hill 2763",3,2,1,713000,2022-08-19,-33.7285257474187,150.892992052665,642.089451088461
36,"7/21 Alamar Crescent Quakers Hill 2763",4,2,2,790000,2022-07-29,-33.7337405484792,150.906237638977,1985.347777434
37,"24/38 Hillcrest Road Quakers Hill 2763",3,2,2,7e+05,2022-07-29,-33.7307451915605,150.892764903089,712.897597641329
38,"3/46 Pearce Road Quakers Hill 2763",4,2,1,825000,2022-07-29,-33.7271387939002,150.886563803482,46.740523741968
39,"1/11 Refalo Place Quakers Hill 2763",3,1,1,740000,2022-07-26,-33.7128963478435,150.88536762208,1618.24004921391
40,"6/32 Douglas Road Quakers Hill 2763",3,2,2,795000,2022-07-26,-33.7274542887357,150.881777569131,408.167065739859
41,"3/70 Bali Drive Quakers Hill 2763",3,2,1,715000,2022-07-11,-33.7186007777781,150.891648685043,1104.10937785729
42,"106 Tallagandra Drive Quakers Hill 2763",4,2,1,825000,2022-07-09,-33.7389628513432,150.872444655221,1808.36182287938
43,"18/44 Stanbury Place Quakers Hill 2763",2,2,1,640000,2022-06-20,-33.7253509758624,150.893364712081,703.314181502648
44,"8/6 Blossom Place Quakers Hill 2763",3,2,2,8e+05,2022-06-10,-33.7241733603758,150.890104822298,511.902506658801
45,"31 Pye Road Quakers Hill 2763",3,2,1,885000,2022-06-03,-33.7321950931718,150.893087690181,831.354064764666
46,"4/33 Railway Road Quakers Hill 2763",5,2,3,856500,2022-06-03,-33.7283197202386,150.886336067173,101.413183108031
47,"3/14-16 Lalor Road Quakers Hill 2763",3,2,2,757000,2022-06-02,-33.7268698186273,150.887490003783,135.240023227496
48,"14/6 Blossom Place Quakers Hill 2763",3,2,2,850000,2022-05-27,-33.7236669676954,150.890417634924,572.529955131175
49,"4/10-12 Lalor Road Quakers Hill 2763",4,2,2,845000,2022-05-17,-33.726810977667,150.887061688531,105.492563376114
50,"9/169 Walker Street Quakers Hill 2763",3,2,1,650000,2022-05-16,-33.7181796709626,150.888476805244,1049.974187099
