"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/4-6 Metella Road Toongabbie 2146",3,1,2,779000,2023-03-08,-33.7871583755068,150.94690881248,427.129183895026
2,"15/45-47 Cornelia Road Toongabbie 2146",2,1,1,637500,2023-02-03,-33.7861552293348,150.944791124642,636.307943625605
3,"9/51 Cornelia Road Toongabbie 2146",5,3,2,915000,2023-01-30,-33.7860999506834,150.944219897941,689.306926858738
4,"8/23-25 Metella Road Toongabbie 2146",3,1,1,670000,2023-01-27,-33.7879215058814,150.944240349785,676.711063638999
5,"5/104-106 Metella Road Toongabbie 2146",2,1,1,657080,2022-11-26,-33.7934518436871,150.937882005674,1433.77906255856
6,"4/149 Toongabbie Road Toongabbie 2146",2,1,1,620000,2022-11-25,-33.7948695587902,150.938364887116,1478.10220228216
7,"7/45-47 Cornelia Road Toongabbie 2146",3,2,2,765000,2022-11-18,-33.7857220106692,150.944932778806,635.402204940151
8,"1/51 Cornelia Road Toongabbie 2146",4,2,2,832500,2022-11-04,-33.7860999506834,150.944219897941,689.306926858738
9,"8/61-63 Portico Parade Toongabbie 2146",4,2,2,842500,2022-11-03,-33.7815003813158,150.947950599225,728.678986984171
10,"19/8-10 Metella Road Toongabbie 2146",2,2,1,625000,2022-09-16,-33.7877889460827,150.946911494689,429.408594634628
11,"2/39-41 Metella Road Toongabbie 2146",2,1,1,635000,2022-07-21,-33.7890527694435,150.94316905874,795.971644086906
12,"19/81 Metella Road Toongabbie 2146",4,2,2,870000,2022-07-18,-33.7914120656398,150.939015406621,1242.76761601297
13,"7/51 Cornelia Road Toongabbie 2146",4,2,2,808000,2022-06-28,-33.7860999506834,150.944219897941,689.306926858738
14,"7/61 Portico Parade Toongabbie 2146",4,2,2,850000,2022-06-17,-33.7814148859034,150.94804539855,733.28701599733
15,"146 Metella Road Toongabbie 2146",3,2,1,807000,2022-04-12,-33.795843033025,150.934911123912,1805.03635468196
16,"13/113 Metella Road Toongabbie 2146",2,1,1,6e+05,2022-04-04,-33.7935693998791,150.936128008615,1584.15414301165
17,"4/439 Wentworth Avenue Toongabbie 2146",3,1,1,740000,2022-03-23,-33.7893639895084,150.952562322352,245.558669719842
18,"8/98-100 Metella Road Toongabbie 2146",2,1,1,650000,2022-03-16,-33.7930959061687,150.938389278454,1373.72131153344
19,"1/99 Metella Road Toongabbie 2146",3,2,2,825000,2022-03-05,-33.7924922834116,150.937370206666,1429.48051868082
20,"1/401-403 Wentworth Avenue Toongabbie 2146",3,2,1,815000,2022-03-03,-33.7924242223578,150.95272006977,577.28460579786
21,"17/4-6 Metella Road Toongabbie 2146",3,1,2,750000,2022-02-17,-33.7873166677483,150.946666240202,449.12260016474
22,"2/20 Valeria Street Toongabbie 2146",4,2,2,880000,2022-02-11,-33.7847414956357,150.947676762448,458.074355367509
23,"3/439 Wentworth Avenue Toongabbie 2146",3,1,1,735000,2022-02-09,-33.7893639895084,150.952562322352,245.558669719842
24,"12/80-82 Metella Road Toongabbie 2146",2,2,1,657000,2022-01-18,-33.7919490522668,150.939667518688,1210.92453646455
25,"1/152 Metella Road Toongabbie 2146",3,1,1,745000,2022-01-17,-33.7963365175744,150.934398905809,1874.32468486185
26,"13/367 Wentworth Avenue Toongabbie 2146",3,2,2,747000,2022-01-12,-33.7954755703898,150.953197670613,919.379202355089
27,"6/96 Metella Road Toongabbie 2146",3,2,2,865000,2022-01-08,-33.7929247057964,150.93864417213,1343.98398489644
28,"7/98-100 Metella Road Toongabbie 2146",2,1,1,631000,2021-12-23,-33.7930959061687,150.938389278454,1373.72131153344
29,"2/439 Wentworth Avenue Toongabbie 2146",3,2,1,820000,2021-12-17,-33.7893639895084,150.952562322352,245.558669719842
30,"11/517 Wentworth Ave Toongabbie 2146",3,1,1,710000,2021-12-07,-33.7855519837633,150.952887204919,235.344298819434
31,"1/92 Metella Road Toongabbie 2146",3,2,2,920000,2021-12-05,-33.7925015454146,150.93879739332,1310.08578277928
32,"4/61 Portico Parade Toongabbie 2146",4,2,2,856000,2021-11-26,-33.7814207951452,150.947758486004,744.727063329475
33,"1/96 Metella Road Toongabbie 2146",4,3,2,780000,2021-11-26,-33.7929247057964,150.93864417213,1343.98398489644
34,"1/439 Wentworth Avenue Toongabbie 2146",5,3,1,9e+05,2021-11-17,-33.7893639895084,150.952562322352,245.558669719842
35,"3/387 Blacktown Road Toongabbie 2146",3,2,2,718000,2021-11-12,-33.8002087472939,150.927711907275,2627.75378131982
36,"22 Lucretia Road Toongabbie 2146",3,2,2,875000,2021-11-12,-33.7929987180014,150.937183876958,1468.58596706274
37,"10/81 Metella Road Toongabbie 2146",4,2,2,845000,2021-11-08,-33.791131481431,150.93942586842,1196.10790769342
38,"4/31 Metella Road Toongabbie 2146",3,1,1,732501,2021-11-03,-33.7884307903184,150.943632494166,739.913199366588
39,"2/16 Highland Avenue Toongabbie 2146",2,2,1,7e+05,2021-10-27,-33.7803561258038,150.950299879047,785.062719515501
40,"2/92 Metella Road Toongabbie 2146",3,2,2,841000,2021-10-25,-33.7926218676346,150.938912393031,1306.51263639516
41,"9/98-100 Metella Road Toongabbie 2146",2,1,1,646033,2021-10-11,-33.7930959061687,150.938389278454,1373.72131153344
42,"6/98-100 Metella Road Toongabbie 2146",2,1,1,605000,2021-09-27,-33.7930959061687,150.938389278454,1373.72131153344
43,"4/29 Marcia Street Toongabbie 2146",4,2,2,847500,2021-09-21,-33.7846503424387,150.945859314383,603.048889208457
44,"2/99 Metella Road Toongabbie 2146",3,2,2,770000,2021-09-14,-33.7924922834116,150.937370206666,1429.48051868082
45,"9/17 Mimosa Avenue Toongabbie 2146",3,2,2,760000,2021-08-20,-33.7816391856324,150.9530897117,650.473909114082
46,"6/517-521 Wentworth Avenue Toongabbie 2146",3,2,2,745000,2021-08-05,-33.7855519837633,150.952887204919,235.344298819434
47,"1/387 Blacktown Road Toongabbie 2146",3,2,2,680000,2021-07-30,-33.8002087472939,150.927711907275,2627.75378131982
